id,tourney_name
390,Bossonnens
391,Messina
392,Reggio Calabri
393,Kakegawa
394,Bloomfield
395,Sao Paulo7
396,Gramado
397,Sao Paulo4
398,Telford
399,Turin
400,Bielefeld
401,Benin City
402,Belo Horizonte
403,Brunei
404,Napoli
405,Launceston
406,Halifax
407,Itu-Sao Paulo
408,Sao Luis
409,Oberstaufen
410,Ixtapa
411,Poznan
412,Recife
413,Tunis
414,Agadir
415,Guangzhou
416,Yvetot
417,Liege
418,Rennes
419,Cotia
420,Porto
421,Natal
422,Caracas3
423,Reunion Island
424,Montebello
425,Scheveningen
426,Oostende
427,Eisenach
428,Montauban
429,Campinas
430,Bergamo
431,Bruck
432,Bochum
433,Kosice
434,Dresden
435,Andorra
436,Rogaska
437,Riemerling
438,Garmisch
439,Tenerife
440,Punta Del Este
441,Bronx
442,Emden
443,Lippstadt
444,Wolfsburg
445,Gothenburg
446,Ribeirao Preta
447,Nantes
448,Prostejov
449,Weiden
450,Braunschweig
451,Annenheim
452,Binghamton
453,Guayaquil
454,Malta
455,Pilzen
456,Lima
457,Seville
458,Celle
459,Belem
460,Puerto Vallarta
461,Campos Do Jordao
462,Glendale
463,Granby
464,Aruba
465,Lillehammer
466,Lexington
467,Asuncion
468,Hamburen
469,Mendoza
470,Ulm
471,Goa
472,Ostend
473,Medellin
474,Charleroi
475,Puerta Vallarta
476,Fergana
477,Brasov
478,Bromma
479,Portoroz
480,Alpirsbach
481,Madras
482,Olbia
483,Tanagura
484,West Bloomfield
485,Daytona Beach
486,Mauritius Island
487,Neumunster
488,Salinas
489,Bratislava
490,Bad Saarow
491,Skopje
492,Urbana
493,Austin
494,Andijan
495,Ahmedabad
496,Szczecin
497,Alicante
498,Samarkand
499,Amarillo
500,Budva
501,Santa Cruz
502,Contrexeville
503,Barletta
504,Nettingsdorf
505,Portschach
506,Edinburgh
507,Espinho
508,Magdeburg
509,Sedona
510,Eilat
511,Rio Grande
512,Bad Lippspringe
513,Eckental
514,Kyoto
515,Lubeck
516,Wismar
517,Burbank
518,Flushing Meadow
519,Biella
520,San Diego
521,Toluca
522,Kiev
523,Tijuana
524,Vadodara
525,Pribram
526,Nuembrecht
527,Maia
528,Florianopolis
529,Manerbio
530,Aschaffenburg
531,Freudenstadt
532,Sylt
533,Cordoba
534,Bressanone
535,Jaipur
536,Yokohama
537,Laguna Hills
538,Lucknow
539,Grenoble
540,Lugano
541,Besancon
542,Costa Rica
543,Tallahassee
544,Sassuolo
