name,age,height
Shenay Perry,19.1348391513,nan
Maria Emilia Salerni,20.2819986311,nan
Angela Haynes,18.9075975359,nan
Yuliya Beygelzimer,19.8466803559,174.0
Stephanie Gehrlein,21.3744010951,nan
Mara Santangelo,22.157426420300002,181.0
Claudine Schaul,20.0136892539,nan
Tian Tian Sun,21.8672142368,nan
Marissa Gould,22.5571526352,nan
Iveta Benesova,19.947980835,170.0
Eva Dyrberg,22.904859685100003,nan
Nuria Llagostera Vives,22.6611909651,156.0
Mariana Diaz Oliva,26.841889116999997,nan
Klara Koukalova,20.8843258042,166.0
Jelena Jankovic,17.8726899384,177.0
Casey Dellacqua,17.9192334018,nan
Barbara Schwartz,23.961670089000002,nan
Adriana Szili,18.0177960301,nan
Asa Svensson,27.578370978800002,nan
Anna Kournikova,21.601642710500002,173.0
Tatiana Panova,26.417522245,nan
Anne Kremer,27.241615332,nan
Vanessa Webb,26.970568104,nan
Greta Arn,23.753593429200002,nan
Mashona Washington,26.6201232033,nan
Rachel Mcquillan,31.1156741958,nan
Anabel Medina Garrigues,20.4544832307,169.0
Lilia Osterloh,25.210130047899998,nan
Alena Nesticka,27.794661191,nan
Chanelle Scheepers,18.7980835044,nan
Tzipi Obziler,29.697467488,nan
Renata Voracova,19.2334017796,nan
Shelley Bryce,24.421629021199998,nan
Leanne Baker,21.9739904175,nan
Olga Barabanschikova,23.1786447639,nan
Tiffany Welford,17.735797399000003,nan
Cindy Watson,24.7885010267,nan
Zsofia Gubacsi,21.7522245038,nan
Kelly Liggan,23.9178644764,nan
Amanda Grahame,23.786447638600002,nan
Bryanne Stewart,23.077344284699997,nan
Ruxandra Dragomir Ilie,30.431211499,nan
Rita Kuti Kis,25.125256673499997,nan
Maret Ani,21.1800136893,176.0
Frederica Piedade,20.8377823409,nan
Elena Tatarkova,26.6228610541,nan
Ivana Lisjak,16.1724845996,nan
Tara Snyder,26.0369609856,nan
Roberta Vinci,20.3039014374,163.0
Yuka Yoshida,27.1868583162,nan
Mi Ra Jeon,24.9719370294,nan
Andreea Ehritt Vanc,29.327857631799997,nan
Katalin Marosi,23.227926078000003,nan
Sania Mirza,16.219028063,153.0
Jie Zheng,19.5838466804,164.0
Manisha Malhotra,26.373716632399997,nan
Vanessa Henke,22.069815195100002,nan
Elke Clijsters,18.0616016427,174.0
Kirsten Flipkens,17.0841889117,165.0
Sandra Cacic,28.4380561259,nan
Marie Eve Pelletier,20.7529089665,nan
Bianka Lamade,20.4681724846,nan
Maria Goloviznina,23.704312115,nan
Diana Ospina,23.624914442199998,nan
Tanner Cochran,18.540725530499998,nan
Olga Kalyuzhnaya,20.1642710472,nan
Paula Garcia,23.9178644764,nan
Ana Lucia Migliarini De Leon,19.1731690623,nan
Lourdes Dominguez Lino,21.883641341500002,163.0
Melanie Marois,18.9404517454,nan
Kateryna Bondarenko,16.5284052019,175.0
Ivana Abramovic,19.4579055441,nan
Alona Bondarenko,18.5133470226,168.0
Jana Kandarr,26.4065708419,nan
Romy Farah,18.116358658499998,nan
Mirjana Lucic,20.9637234771,nan
Melissa Torres Sandoval,19.0581793292,nan
Shuai Peng,17.1471594798,173.0
Jessica Kirkland,15.310061601600001,nan
Allison Baker,16.933607118399998,nan
Jamea Jackson,16.5229295003,nan
Jennifer Hopkins,22.1327857632,nan
Shadisha Robinson,17.735797399000003,nan
Jarmila Gajdosova,15.9671457906,174.0
Lubomira Bacheva,28.104038329899996,nan
Petra Dizdar,18.8254620123,nan
Anna Lena Groenefeld,17.897330595499998,180.0
Olga Vymetalkova,27.258042436700002,nan
Darija Jurak,19.06091718,nan
Joanna Sakowicz Kostecka,18.9897330595,nan
Marta Domachowska,17.2785763176,176.0
Kristie Boogert,29.3826146475,nan
Angelika Bachmann,23.9698836413,nan
Virag Nemeth,17.9137577002,nan
Evelyn Fauth,26.5297741273,nan
Sybille Bammer,23.1156741958,174.0
Michaella Krajicek,14.431211499000002,177.0
Amanda Keen,25.415468856900002,nan
Zi Yan,18.6475017112,171.0
Yuliana Fedak,20.0793976728,166.0
Teryn Ashley,24.605065024,nan
Leslie Koffi,16.1752224504,nan
Viktoria Kutuzova,14.9568788501,170.0
Emma Laine,17.357973990399998,nan
Sofia Arvidsson,19.4633812457,176.0
Jana Hlavackova,22.2012320329,nan
Beier Ko,17.067761807,nan
Abigail Spears,22.2149212868,nan
Ting Li,23.7316906229,nan
Rika Fujiwara,22.0260095825,nan
Jin Hee Kim,22.291581108800003,nan
Maika Ozaki,18.9267624914,nan
Miho Saeki,27.5318275154,nan
Akgul Amanmuradova,19.285420944600002,nan
Lioudmila Skavronskaia,23.537303216999998,nan
Adriana Barna,25.3771389459,nan
Ivanna Israilova,17.6673511294,nan
Seiko Okamoto,25.563312799499997,nan
Sonya Jeyaseelan,27.488021902800003,nan
Kristina Brandi,26.5790554415,168.0
Ilke Gers,22.0205338809,nan
Pichittra Thongdach,16.5557837098,nan
Lydia Steinbach,23.2607802875,nan
Ryoko Fuda,17.0239561944,nan
Tina Schiechtl,19.8001368925,nan
Elise Tamaela,19.780971937,nan
Severine Beltrame,24.221765913800002,171.0
Sandra Klemenschits,20.9719370294,nan
Napaporn Tongsalee,24.0355920602,nan
Maki Arai,20.8624229979,nan
